,similar_player,player,rank
4,Carlos Eduardo,P. Pogba,5
5,O. El Kaddouri,P. Pogba,6
6,R. Marin,P. Pogba,7
7,J. Shelvey,P. Pogba,8
8,D. Alli,P. Pogba,9
9,V. Odjidja-Ofoe,P. Pogba,10
0,G. Bou,P. Aubameyang,1
1,L. Sané,P. Aubameyang,2
2,A. Martial,P. Aubameyang,3
3,K. Toko-Ekambi,P. Aubameyang,4
4,K. Mbappé,P. Aubameyang,5
5,E. Zahavi,P. Aubameyang,6
6,F. Smolov,P. Aubameyang,7
7,M. Greenwood,P. Aubameyang,8
8,F. Martínez,P. Aubameyang,9
9,Cristiano Ronaldo,P. Aubameyang,10
0,K. Schmeichel,Ederson,1
1,De Gea,Ederson,2
2,B. Leno,Ederson,3
3,J. Cillessen,Ederson,4
4,D. Livaković,Ederson,5
5,S. Romero,Ederson,6
6,Fabricio,Ederson,7
7,S. Bain,Ederson,8
8,M. Neuer,Ederson,9
9,M. Ryan,Ederson,10
0,F. Thauvin,H. Son,1
1,Oyarzabal,H. Son,2
2,Munir,H. Son,3
3,S. El Shaarawy,H. Son,4
4,M. Rashford,H. Son,5
5,J. Sildero,H. Son,6
6,L. Sané,H. Son,7
7,Marco Asensio,H. Son,8
8,K. Mbappé,H. Son,9
9,M. Rashica,H. Son,10
0,K. Trippier,T. Alexander-Arnold,1
1,O. Zinchenko,T. Alexander-Arnold,2
2,P. Max,T. Alexander-Arnold,3
3,Grimaldo,T. Alexander-Arnold,4
4,João Cancelo,T. Alexander-Arnold,5
5,L. Augustinsson,T. Alexander-Arnold,6
6,Alex Telles,T. Alexander-Arnold,7
7,Sergi Roberto,T. Alexander-Arnold,8
8,Antunes,T. Alexander-Arnold,9
9,Angeliño,T. Alexander-Arnold,10
0,F. Schär,Sergio Ramos,1
1,David Luiz,Sergio Ramos,2
2,S. Umtiti,Sergio Ramos,3
3,F. Lértora,Sergio Ramos,4
4,M. Debuchy,Sergio Ramos,5
5,T. Delaney,Sergio Ramos,6
6,A. Witsel,Sergio Ramos,7
7,A. Ioniță,Sergio Ramos,8
8,A. Vidal,Sergio Ramos,9
9,M. Halstenberg,Sergio Ramos,10
0,Héldon,N. Pépé,1
1,C. Ciano,N. Pépé,2
2,K. Coman,N. Pépé,3
3,Romarinho,N. Pépé,4
4,L. Bailey,N. Pépé,5
5,Y. Ngbakoto,N. Pépé,6
6,A. Badri,N. Pépé,7
7,Éder,N. Pépé,8
8,Y. Konoplyanka,N. Pépé,9
9,M. Dossevi,N. Pépé,10
0,S. Umtiti,Thiago Silva,1
1,J. Vertonghen,Thiago Silva,2
2,T. Alderweireld,Thiago Silva,3
3,B. Pavard,Thiago Silva,4
4,Fernando,Thiago Silva,5
5,N. Vukčević,Thiago Silva,6
6,L. Bonucci,Thiago Silva,7
7,N. Aké,Thiago Silva,8
8,W. Ndidi,Thiago Silva,9
9,J. Mascherano,Thiago Silva,10
0,I. Rakitić,T. Kroos,1
1,Parejo,T. Kroos,2
2,Sérgio Oliveira,T. Kroos,3
3,L. Cigarini,T. Kroos,4
4,Y. Tielemans,T. Kroos,5
5,Sergi Darder,T. Kroos,6
6,J. Sosa,T. Kroos,7
7,Renato Augusto,T. Kroos,8
8,C. Grenier,T. Kroos,9
9,Santi Cazorla,T. Kroos,10
0,J. Kucka,Casemiro,1
1,Fernando,Casemiro,2
2,F. Schär,Casemiro,3
3,Gabriel,Casemiro,4
4,N. Maksimović,Casemiro,5
5,E. Can,Casemiro,6
6,K. Phillips,Casemiro,7
7,A. Samaris,Casemiro,8
8,Luiz Gustavo,Casemiro,9
9,A. Ioniță,Casemiro,10
